epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.306033,0.293799,0.815594,0.409426,0.366967
2,0.278171,0.296444,0.803838,0.380505,0.34591
3,0.268752,0.277109,0.833243,0.468429,0.406108
4,0.253385,0.287086,0.824394,0.4581,0.382025
5,0.231942,0.272475,0.838902,0.486524,0.413218
6,0.249206,0.281332,0.8279,0.479108,0.412393
7,0.236051,0.281508,0.807665,0.502663,0.430274
8,0.233533,0.278269,0.825893,0.458826,0.387777
9,0.220107,0.272993,0.8038,0.498756,0.422386
10,0.217004,0.263352,0.826965,0.51785,0.442714
11,0.217423,0.270978,0.817173,0.549273,0.473112
12,0.237874,0.268966,0.815269,0.521008,0.449793
13,0.179192,0.278286,0.809297,0.520171,0.438731
