epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.363636,0.342365,0.811056,0.255107,0.244243
2,0.282039,0.281394,0.831866,0.436384,0.383666
3,0.265577,0.276565,0.837462,0.480207,0.417279
4,0.246606,0.283545,0.823975,0.504028,0.433218
5,0.248589,0.28025,0.844248,0.460912,0.392584
6,0.242973,0.272304,0.830035,0.505046,0.432432
7,0.248598,0.280131,0.818302,0.479218,0.408957
8,0.222217,0.27356,0.825392,0.500155,0.42368
9,0.211653,0.278739,0.819814,0.506989,0.432116
10,0.226052,0.27246,0.831955,0.500828,0.423652
11,0.228455,0.265454,0.82524,0.512671,0.437186
12,0.206309,0.268607,0.818363,0.521184,0.44375
13,0.19664,0.274834,0.817343,0.504889,0.42631
14,0.195704,0.263091,0.824372,0.523583,0.442515
15,0.222715,0.26372,0.83275,0.51158,0.435365
16,0.224245,0.266576,0.819513,0.500129,0.426373
17,0.203797,0.27085,0.816757,0.524025,0.45011
18,0.226646,0.2704,0.81664,0.524939,0.449566
19,0.205712,0.267265,0.828601,0.524021,0.448521
20,0.193619,0.265165,0.823893,0.516795,0.43937
21,0.22288,0.267687,0.820814,0.520935,0.44813
22,0.187316,0.262999,0.833654,0.519835,0.447651
23,0.184147,0.265969,0.827788,0.53374,0.45811
24,0.200172,0.265716,0.820195,0.525161,0.451379
25,0.198705,0.266557,0.811962,0.529805,0.455316
26,0.183857,0.265299,0.81976,0.531055,0.454291
27,0.18174,0.265483,0.820693,0.523083,0.449853
28,0.190142,0.27126,0.814867,0.536904,0.460103
29,0.200506,0.267322,0.81889,0.525089,0.449144
30,0.190449,0.26582,0.819496,0.529831,0.454216
