epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.365608,0.464029,0.805961,0.262011,0.249623
2,0.281531,0.331011,0.837985,0.451824,0.404947
3,0.264303,0.354348,0.826155,0.466857,0.408898
4,0.247883,0.281528,0.829239,0.478042,0.408667
5,0.249555,0.277859,0.831498,0.47,0.409928
6,0.242789,0.296526,0.817025,0.491006,0.421841
7,0.250671,0.277582,0.830155,0.46449,0.397038
8,0.225471,0.273189,0.824061,0.508332,0.437075
9,0.21606,0.273464,0.826989,0.485607,0.415245
10,0.230709,0.273767,0.834012,0.501364,0.430091
11,0.237075,0.264536,0.828525,0.509163,0.436869
12,0.216452,0.266589,0.825978,0.512534,0.440539
13,0.202686,0.273377,0.815977,0.494811,0.421605
14,0.206685,0.265531,0.814627,0.511446,0.433055
15,0.228732,0.264719,0.828491,0.522365,0.452778
16,0.227494,0.268964,0.82253,0.517981,0.446181
17,0.205649,0.266968,0.818857,0.537485,0.463106
18,0.227826,0.26864,0.815507,0.51487,0.440184
19,0.211415,0.266669,0.823027,0.509096,0.432961
20,0.198567,0.266139,0.812369,0.514136,0.438599
21,0.228258,0.267443,0.811137,0.520591,0.447604
22,0.189777,0.264429,0.818418,0.519012,0.445512
23,0.186447,0.266748,0.811971,0.537237,0.461645
