epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.244397,0.289203,0.824487,0.475673,0.417329
2,0.157636,0.299442,0.802208,0.442484,0.382234
3,0.122323,0.28861,0.826395,0.485852,0.413222
4,0.095946,0.284829,0.821585,0.512009,0.428554
5,0.077708,0.278146,0.835697,0.526134,0.442919
6,0.070058,0.298209,0.811915,0.51307,0.432135
7,0.060164,0.299964,0.818047,0.514111,0.429149
8,0.051975,0.298338,0.832801,0.501979,0.417018
9,0.040973,0.308961,0.828035,0.519183,0.431471
10,0.03817,0.304133,0.830762,0.533679,0.448931
11,0.03197,0.32165,0.821285,0.517398,0.427186
12,0.027725,0.317597,0.828687,0.520593,0.436004
13,0.025225,0.333927,0.826093,0.543924,0.459916
