epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.364502,0.550606,0.78494,0.220954,0.203115
2,0.299355,0.463331,0.820898,0.432888,0.370771
3,0.285085,0.440043,0.83034,0.450787,0.386284
4,0.269778,0.423824,0.836356,0.461208,0.395887
5,0.274705,0.373213,0.838697,0.495486,0.429921
6,0.256447,0.431384,0.828235,0.499137,0.432625
7,0.265143,0.372384,0.841319,0.513304,0.441003
8,0.239589,0.426771,0.83337,0.514966,0.440771
9,0.252315,0.321837,0.833147,0.521264,0.446017
10,0.241401,0.377478,0.837628,0.511755,0.437854
11,0.24963,0.303726,0.820334,0.524817,0.4544
12,0.21546,0.343936,0.826058,0.514735,0.440388
13,0.237839,0.29116,0.833264,0.521014,0.447442
14,0.227612,0.295964,0.830665,0.521137,0.447136
15,0.235944,0.293708,0.827913,0.515771,0.444051
16,0.225005,0.345784,0.825528,0.525767,0.448301
17,0.244792,0.340391,0.825398,0.524543,0.451865
18,0.242768,0.311887,0.82656,0.512929,0.437412
19,0.210605,0.326331,0.823065,0.530865,0.454983
20,0.242279,0.270618,0.826244,0.519435,0.447392
21,0.216168,0.273206,0.824387,0.517562,0.443357
22,0.216047,0.282638,0.823091,0.530677,0.452804
23,0.209415,0.267345,0.824057,0.542302,0.462866
24,0.22733,0.2724,0.819579,0.521607,0.445876
25,0.205977,0.271684,0.821837,0.526204,0.449553
26,0.209141,0.293779,0.821265,0.526257,0.451688
27,0.221616,0.293923,0.818283,0.520923,0.445587
28,0.213381,0.282543,0.821484,0.520873,0.446157
29,0.206542,0.270762,0.822691,0.530558,0.456657
